カード番号,カード名,レアリティ,種類,色,コスト/ライフ種別,コスト/ライフ値,パワー,カウンター,属性,特徴,ブロック,効果テキスト,トリガー,入手情報,重複フラグ,ImageFileID,ImageFileID_small
EB01-001,光月おでん,L,LEADER,赤/緑,ライフ,4,5000,-,斬,ワノ国/光月家,2,ルール上、自分の特徴《ワノ国》を持ちカウンターを持たないキャラカードすべてはカウンター+1000を持つ。【ドン!!×1】【アタック時】自分のコスト5以上の特徴《ワノ国》を持つキャラがいる場合、このリーダーは、次の自分のターン開始時まで、パワー+1000。,,メモリアルコレクション【EB-01】,,,
EB01-001,光月おでん,L,LEADER,赤/緑,ライフ,4,5000,-,斬,ワノ国/光月家,2,ルール上、自分の特徴《ワノ国》を持ちカウンターを持たないキャラカードすべてはカウンター+1000を持つ。【ドン!!×1】【アタック時】自分のコスト5以上の特徴《ワノ国》を持つキャラがいる場合、このリーダーは、次の自分のターン開始時まで、パワー+1000。,,メモリアルコレクション【EB-01】,重複,,
EB01-001,光月おでん,L,LEADER,赤/緑,ライフ,4,5000,-,斬,ワノ国/光月家,2,ルール上、自分の特徴《ワノ国》を持ちカウンターを持たないキャラカードすべてはカウンター+1000を持つ。【ドン‼×1】【アタック時】自分のコスト5以上の特徴《ワノ国》を持つキャラがいる場合、このリーダーは、次の自分のターン開始時まで、パワー+1000。,,エクストラブースター Anime 25th collection【EB-02】,重複,,
EB01-002,イゾウ,R,CHARACTER,赤,コスト,5,7000,-,射,ワノ国/白ひげ海賊団,2,【登場時】自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。【相手のアタック時】【ターン1回】自分の手札1枚を捨てることができる：自分のリーダーが特徴《ワノ国》か《白ひげ海賊団》を持つ場合、相手のリーダーかキャラ1枚までを、このターン中、パワー-2000。,,メモリアルコレクション【EB-01】,,,
EB01-003,キッド&キラー,R,CHARACTER,赤,コスト,4,5000,-,斬/特,超新星/キッド海賊団,2,【速攻】(このカードは登場したターンにアタックできる)【アタック時】相手のライフが2枚以下の場合、このキャラは、このターン中、パワー+2000。,,メモリアルコレクション【EB-01】,,,
EB01-003,キッド&キラー,R,CHARACTER,赤,コスト,4,5000,-,斬/特,超新星/キッド海賊団,2,【速攻】(このカードは登場したターンにアタックできる)【アタック時】相手のライフが2枚以下の場合、このキャラは、このターン中、パワー+2000。,,メモリアルコレクション【EB-01】,重複,,
EB01-003,キッド&キラー,R,CHARACTER,赤,コスト,4,5000,-,斬/特,超新星/キッド海賊団,2,【速攻】(このカードは登場したターンにアタックできる)【アタック時】相手のライフが2枚以下の場合、このキャラは、このターン中、パワー+2000。,,Vジャンプ10月特大号応募者全員サービス（2024年8月21日売）,重複,,
EB01-004,コーザ,C,CHARACTER,赤,コスト,2,3000,1000,射,アラバスタ王国,2,【アタック時】自分のアクティブのリーダー1枚を、このターン中、パワー-5000することができる：相手のキャラ1枚までを、このターン中、パワー-3000。,,メモリアルコレクション【EB-01】,,,
EB01-005,ドーマ,C,CHARACTER,赤,コスト,1,3000,1000,斬,白ひげ海賊団傘下,2,-,,メモリアルコレクション【EB-01】,,,
EB01-006,トニートニー・チョッパー,SR,CHARACTER,赤,コスト,3,4000,1000,打,動物/麦わらの一味,2,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×2】【アタック時】相手のキャラ1枚までを、このターン中、パワー-3000。,,ONE PIECE CARD THE BEST【PRB-01】,,,
EB01-006,トニートニー・チョッパー,SR,CHARACTER,赤,コスト,3,4000,1000,打,動物/麦わらの一味,2,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×2】【アタック時】相手のキャラ1枚までを、このターン中、パワー-3000。,,メモリアルコレクション【EB-01】,重複,,
EB01-006,トニートニー・チョッパー,SR,CHARACTER,赤,コスト,3,4000,1000,打,動物/麦わらの一味,2,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×2】【アタック時】相手のキャラ1枚までを、このターン中、パワー-3000。,,メモリアルコレクション【EB-01】,重複,,
EB01-006,トニートニー・チョッパー,SR,CHARACTER,赤,コスト,3,4000,1000,打,動物/麦わらの一味,2,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×2】【アタック時】相手のキャラ1枚までを、このターン中、パワー-3000。,,メモリアルコレクション【EB-01】,重複,,
EB01-006,トニートニー・チョッパー,SR,CHARACTER,赤,コスト,3,4000,1000,打,動物/麦わらの一味,2,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン‼×2】【アタック時】相手のキャラ1枚までを、このターン中、パワー-3000。,,始めようキャンペーン プロモーションパック,重複,,
EB01-006,トニートニー・チョッパー,SR,CHARACTER,赤,コスト,3,4000,1000,打,動物/麦わらの一味,2,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン‼×2】【アタック時】相手のキャラ1枚までを、このターン中、パワー-3000。,,始めようキャンペーン プロモーションパック,重複,,
EB01-007,ヤマト,C,CHARACTER,赤,コスト,5,5000,2000,打,ワノ国,2,【起動メイン】【ターン1回】自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,メモリアルコレクション【EB-01】,,,
